,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,direction,KEGG_Pathway,KEGG_Pathway_Name,contrast,strain
266,gs_ind_0,ko01230,60/91,2.3866905396868944e-12,2.37475708698846e-10,4.572633172364536,122.36875495832936,ko:K01696;ko:K00850;ko:K01649;ko:K13498;ko:K01647;ko:K01626;ko:K12339;ko:K00215;ko:K00549;ko:K00789;ko:K01714;ko:K01653;ko:K00832;ko:K00765;ko:K00134;ko:K00640;ko:K01754;ko:K00615;ko:K14260;ko:K01953;ko:K01652;ko:K00133;ko:K01682;ko:K00013;ko:K00831;ko:K00836;ko:K01915;ko:K00052;ko:K00948;ko:K01689;ko:K00927;ko:K00800;ko:K01803;ko:K11755;ko:K01703;ko:K01624;ko:K11258;ko:K01834;ko:K01735;ko:K14170;ko:K00872;ko:K00674;ko:K01739;ko:K00031;ko:K00826;ko:K01778;ko:K00873;ko:K00600;ko:K00265;ko:K01738;ko:K00058;ko:K00651;ko:K00616;ko:K03786;ko:K00891;ko:K07173;ko:K00014;ko:K00053;ko:K00548;ko:K01940,down,ko01230,Biosynthesis of amino acids,7_vs_0,Rahnella
264,gs_ind_0,ko01212,11/16,0.001953216391581101,0.025912670794975945,4.739130434782608,29.5640123420554,ko:K01962;ko:K01963;ko:K02160;ko:K01961;ko:K02372;ko:K00648;ko:K00647;ko:K09458;ko:K00059;ko:K00645;ko:K00209,down,ko01212,Fatty acid metabolism,7_vs_0,Rahnella
253,gs_ind_0,ko00983,8/11,0.0051053119725549545,0.048378908692306474,5.4898215406689985,28.972388897700704,ko:K00758;ko:K00757;ko:K01489;ko:K00760;ko:K00799;ko:K01951;ko:K00940;ko:K00088,down,ko00983,Drug metabolism - other enzymes,7_vs_0,Rahnella
39,gs_ind_0,ko00500,17/25,7.0768413522066665e-06,0.00057322414952874,6.26998019254687,74.35370680805708,ko:K00697;ko:K00975;ko:K00688;ko:K01087;ko:K02759;ko:K02761;ko:K00690;ko:K01176;ko:K01187;ko:K01226;ko:K01222;ko:K06044;ko:K00703;ko:K00700;ko:K05349;ko:K00705;ko:K02760,up,ko00500,Starch and sucrose metabolism,7_vs_0,Rahnella
183,gs_ind_0,ko00290,10/13,0.0008087193544702318,0.012926428227617227,6.798615481434864,48.40654066292341,ko:K01649;ko:K01754;ko:K14260;ko:K01652;ko:K01653;ko:K00053;ko:K00826;ko:K00052;ko:K11258;ko:K01703,down,ko00290,"Valine, leucine and isoleucine biosynthesis",7_vs_0,Rahnella
3,gs_ind_0,ko00040,18/25,1.003516639631273e-06,0.00016256969562026624,7.527686274509804,103.97240348033363,ko:K08322;ko:K01815;ko:K08323;ko:K01812;ko:K03079;ko:K00040;ko:K00065;ko:K01629;ko:K01805;ko:K00853;ko:K01730;ko:K01804;ko:K00848;ko:K01686;ko:K03077;ko:K01685;ko:K00854;ko:K01731,up,ko00040,Pentose and glucuronate interconversions,7_vs_0,Rahnella
286,gs_ind_0,ko03018,13/16,4.410643029849466e-05,0.0012538828042000624,8.774208103961737,87.99569930009987,ko:K04077;ko:K00850;ko:K00962;ko:K03666;ko:K08300;ko:K08311;ko:K03628;ko:K03732;ko:K12573;ko:K01689;ko:K11927;ko:K05592;ko:K00937,down,ko03018,RNA degradation,7_vs_0,Rahnella
270,gs_ind_0,ko01320,6/7,0.004381768560943297,0.043598597181385805,9.781882696723022,53.11858553581958,ko:K00860;ko:K01738;ko:K00381;ko:K00957;ko:K00390;ko:K00956,down,ko01320,Sulfur cycle,7_vs_0,Rahnella
169,gs_ind_0,ko00061,11/13,9.262841885384106e-05,0.0018433055351914371,10.443478260869565,96.98769036309643,ko:K01962;ko:K01963;ko:K02160;ko:K01961;ko:K02372;ko:K00648;ko:K00647;ko:K09458;ko:K00059;ko:K00645;ko:K00209,down,ko00061,Fatty acid biosynthesis,7_vs_0,Rahnella
289,gs_ind_0,ko03060,16/18,4.7055095004248436e-07,1.8727927811690878e-05,15.079137603043755,219.69340827406742,ko:K03075;ko:K03074;ko:K03425;ko:K03110;ko:K03217;ko:K03106;ko:K03070;ko:K03076;ko:K03117;ko:K03073;ko:K03210;ko:K03100;ko:K13301;ko:K03116;ko:K03072;ko:K03071,down,ko03060,Protein export,7_vs_0,Rahnella
301,gs_ind_0,ko04112,10/11,5.945878575786978e-05,0.0014790372957270107,15.881057268722467,154.5262947936229,ko:K11749;ko:K03590;ko:K03531;ko:K02313;ko:K03589;ko:K02563;ko:K01358;ko:K03544;ko:K03588;ko:K01338,down,ko04112,Cell cycle - Caulobacter,7_vs_0,Rahnella
250,gs_ind_0,ko00970,22/24,6.568870614358134e-10,4.3573508408575625e-08,20.720127795527155,438.0962087874208,ko:K01885;ko:K01869;ko:K01872;ko:K01876;ko:K01890;ko:K00604;ko:K01875;ko:K01867;ko:K01887;ko:K01889;ko:K01873;ko:K01878;ko:K01883;ko:K01870;ko:K04567;ko:K01866;ko:K01881;ko:K01893;ko:K01868;ko:K01886;ko:K01892;ko:K01874,down,ko00970,Aminoacyl-tRNA biosynthesis,7_vs_0,Rahnella
285,gs_ind_0,ko03010,49/53,2.4468547728524397e-21,4.869240997976355e-19,26.200529450694905,1243.4635956604789,ko:K02931;ko:K02902;ko:K02946;ko:K02926;ko:K02990;ko:K02992;ko:K02888;ko:K02867;ko:K02968;ko:K02876;ko:K02939;ko:K02886;ko:K02916;ko:K02982;ko:K02881;ko:K02890;ko:K02913;ko:K02933;ko:K02899;ko:K02961;ko:K02967;ko:K02988;ko:K02863;ko:K02879;ko:K02884;ko:K02907;ko:K02871;ko:K02954;ko:K02892;ko:K02864;ko:K02914;ko:K02895;ko:K02970;ko:K02994;ko:K02906;ko:K02950;ko:K02935;ko:K02963;ko:K02952;ko:K02904;ko:K02887;ko:K02986;ko:K02959;ko:K02965;ko:K02956;ko:K02897;ko:K02878;ko:K02874;ko:K02945,down,ko03010,Ribosome,7_vs_0,Rahnella
204,gs_ind_0,ko00521,7/7,0.0002605746562063307,0.004714032416823619,33.921630094043884,279.94236194658544,ko:K01710;ko:K01790;ko:K01092;ko:K00973;ko:K01835;ko:K00067;ko:K00845,down,ko00521,Streptomycin biosynthesis,7_vs_0,Rahnella
174,gs_ind_0,ko00195,8/8,7.987615422940214e-05,0.0017661505212945583,38.49278091650973,363.1806657122307,ko:K02112;ko:K02109;ko:K02115;ko:K02108;ko:K02114;ko:K02113;ko:K02111;ko:K02110,down,ko00195,Photosynthesis,7_vs_0,Rahnella
257,gs_ind_0,ko01100,257/683,0.0001934738149113361,0.0035177057256606564,1.4018077596505052,11.98597274030085,ko:K01962;ko:K00850;ko:K00381;ko:K01256;ko:K01839;ko:K01433;ko:K00899;ko:K01921;ko:K01255;ko:K01000;ko:K02108;ko:K11753;ko:K01491;ko:K00215;ko:K00275;ko:K00163;ko:K00789;ko:K01714;ko:K03183;ko:K00940;ko:K01916;ko:K02112;ko:K00121;ko:K02078;ko:K00765;ko:K00334;ko:K09913;ko:K00919;ko:K00036;ko:K00991;ko:K01495;ko:K02297;ko:K00133;ko:K00239;ko:K00791;ko:K02851;ko:K02114;ko:K06949;ko:K01682;ko:K09903;ko:K02564;ko:K01835;ko:K00763;ko:K00800;ko:K01924;ko:K02111;ko:K00342;ko:K14170;ko:K00872;ko:K01051;ko:K01710;ko:K08968;ko:K12251;ko:K00826;ko:K00836;ko:K01919;ko:K03182;ko:K00956;ko:K00525;ko:K00241;ko:K01903;ko:K00860;ko:K01485;ko:K00963;ko:K00077;ko:K00382;ko:K01923;ko:K01790;ko:K02843;ko:K02372;ko:K08310;ko:K02113;ko:K00973;ko:K00246;ko:K01925;ko:K01956;ko:K01821;ko:K19267;ko:K00845;ko:K01515;ko:K01649;ko:K13498;ko:K01647;ko:K00390;ko:K01443;ko:K12339;ko:K00331;ko:K05366;ko:K00088;ko:K03527;ko:K00656;ko:K03274;ko:K02501;ko:K07258;ko:K14260;ko:K01920;ko:K00013;ko:K02535;ko:K00948;ko:K01689;ko:K01939;ko:K06211;ko:K01803;ko:K13378;ko:K01703;ko:K01624;ko:K00209;ko:K00939;ko:K03638;ko:K01834;ko:K01735;ko:K03784;ko:K03621;ko:K00009;ko:K00031;ko:K00116;ko:K00817;ko:K01778;ko:K00600;ko:K01738;ko:K00793;ko:K02777;ko:K02300;ko:K00758;ko:K00891;ko:K02844;ko:K05851;ko:K01744;ko:K01961;ko:K03526;ko:K00053;ko:K00820;ko:K01929;ko:K00951;ko:K01951;ko:K03474;ko:K03778;ko:K00059;ko:K03273;ko:K01874;ko:K06966;ko:K02472;ko:K01704;ko:K00099;ko:K01928;ko:K01082;ko:K01756;ko:K01937;ko:K01619;ko:K00769;ko:K01270;ko:K00790;ko:K00832;ko:K01963;ko:K03644;ko:K16704;ko:K03524;ko:K01754;ko:K00615;ko:K05825;ko:K00324;ko:K05365;ko:K00164;ko:K05349;ko:K00425;ko:K00674;ko:K00748;ko:K00873;ko:K05515;ko:K02536;ko:K00265;ko:K00058;ko:K00616;ko:K13038;ko:K00981;ko:K00014;ko:K00548;ko:K01497;ko:K00658;ko:K07404;ko:K07043;ko:K01092;ko:K01611;ko:K02110;ko:K01696;ko:K00627;ko:K00677;ko:K02257;ko:K03651;ko:K00568;ko:K00278;ko:K01626;ko:K01585;ko:K00549;ko:K01810;ko:K01719;ko:K00606;ko:K13788;ko:K00134;ko:K00942;ko:K01494;ko:K09880;ko:K00640;ko:K01953;ko:K02298;ko:K01652;ko:K01915;ko:K11754;ko:K03587;ko:K00052;ko:K00647;ko:K00123;ko:K11755;ko:K00927;ko:K01955;ko:K11258;ko:K00867;ko:K00794;ko:K01058;ko:K00912;ko:K03151;ko:K00757;ko:K01012;ko:K00380;ko:K01739;ko:K02439;ko:K02563;ko:K02109;ko:K02115;ko:K02492;ko:K01752;ko:K00648;ko:K01673;ko:K00631;ko:K00957;ko:K00651;ko:K03786;ko:K00645;ko:K00796;ko:K08967;ko:K00761;ko:K07173;ko:K00033;ko:K13979;ko:K00925;ko:K00799;ko:K01761;ko:K01595;ko:K00012;ko:K04072;ko:K00383;ko:K09458;ko:K01940;ko:K03841;ko:K01886;ko:K01885;ko:K00297,down,ko01100,Metabolic pathways,21_vs_0,Rahnella
258,gs_ind_0,ko01110,134/275,8.739593365205954e-10,5.8263955768039694e-08,2.2061768293449693,46.016408215394385,ko:K01962;ko:K00850;ko:K11753;ko:K00215;ko:K00163;ko:K00789;ko:K01714;ko:K03183;ko:K00940;ko:K00121;ko:K02078;ko:K00765;ko:K09913;ko:K00919;ko:K00036;ko:K00991;ko:K01682;ko:K00133;ko:K00791;ko:K00239;ko:K01835;ko:K00800;ko:K14170;ko:K00872;ko:K01710;ko:K12251;ko:K00826;ko:K03182;ko:K00956;ko:K00241;ko:K01903;ko:K00963;ko:K00077;ko:K01923;ko:K00382;ko:K01790;ko:K00973;ko:K00246;ko:K01956;ko:K19267;ko:K00845;ko:K01649;ko:K13498;ko:K01647;ko:K00088;ko:K03527;ko:K02501;ko:K14260;ko:K00013;ko:K00948;ko:K01689;ko:K01803;ko:K01703;ko:K01624;ko:K00209;ko:K00939;ko:K01834;ko:K01735;ko:K03784;ko:K03621;ko:K00031;ko:K00116;ko:K00817;ko:K01778;ko:K00600;ko:K01738;ko:K00793;ko:K00891;ko:K01961;ko:K03526;ko:K00053;ko:K00059;ko:K01704;ko:K00099;ko:K01756;ko:K00769;ko:K00806;ko:K00832;ko:K01963;ko:K01754;ko:K00615;ko:K05825;ko:K00164;ko:K05349;ko:K00873;ko:K00265;ko:K00058;ko:K00616;ko:K00981;ko:K00014;ko:K00548;ko:K01497;ko:K00658;ko:K07404;ko:K01092;ko:K01611;ko:K01696;ko:K00627;ko:K02257;ko:K00568;ko:K01626;ko:K01585;ko:K00549;ko:K01719;ko:K01810;ko:K00606;ko:K00134;ko:K00640;ko:K01953;ko:K01652;ko:K02523;ko:K01915;ko:K00052;ko:K11755;ko:K00927;ko:K11258;ko:K01955;ko:K00794;ko:K01058;ko:K01739;ko:K02439;ko:K02492;ko:K01752;ko:K00631;ko:K00957;ko:K00651;ko:K03786;ko:K00645;ko:K00033;ko:K13979;ko:K04072;ko:K01940;ko:K03841;ko:K01885,down,ko01110,Biosynthesis of secondary metabolites,21_vs_0,Rahnella
280,gs_ind_0,ko02040,23/44,0.0040091394850457745,0.04009139485045774,2.351981818441703,12.981007844469463,ko:K02402;ko:K03086;ko:K02406;ko:K03092;ko:K02557;ko:K02407;ko:K02387;ko:K02386;ko:K02411;ko:K02405;ko:K02398;ko:K02390;ko:K02399;ko:K02403;ko:K02408;ko:K02422;ko:K02423;ko:K02420;ko:K02556;ko:K02396;ko:K02424;ko:K02397;ko:K02425,down,ko02040,Flagellar assembly,21_vs_0,Rahnella
170,gs_ind_0,ko00190,22/40,0.002098616265160539,0.02331795850178377,2.6183365686128117,16.14591241919584,ko:K01507;ko:K02257;ko:K02108;ko:K00331;ko:K02112;ko:K00334;ko:K02298;ko:K02297;ko:K00239;ko:K02114;ko:K13378;ko:K02111;ko:K00425;ko:K00342;ko:K02109;ko:K02115;ko:K00241;ko:K02300;ko:K02113;ko:K00246;ko:K00937;ko:K02110,down,ko00190,Oxidative phosphorylation,21_vs_0,Rahnella
260,gs_ind_0,ko01200,47/83,2.3644088015858857e-06,7.881362671952952e-05,2.8607060129959136,37.06039646604857,ko:K01962;ko:K00850;ko:K00627;ko:K01491;ko:K01647;ko:K00163;ko:K01810;ko:K00121;ko:K01963;ko:K13788;ko:K00134;ko:K00640;ko:K00036;ko:K01754;ko:K00615;ko:K01682;ko:K00239;ko:K00948;ko:K01689;ko:K00123;ko:K00927;ko:K01803;ko:K00164;ko:K01624;ko:K00209;ko:K01834;ko:K00031;ko:K00116;ko:K01752;ko:K00873;ko:K00600;ko:K01738;ko:K00058;ko:K00616;ko:K00241;ko:K01903;ko:K00382;ko:K00033;ko:K01961;ko:K00925;ko:K01595;ko:K00658;ko:K07404;ko:K00246;ko:K03841;ko:K00845;ko:K00297,down,ko01200,Carbon metabolism,21_vs_0,Rahnella
178,gs_ind_0,ko00270,23/38,0.00025765391443628016,0.004294231907271336,3.2736086603089003,27.052752643522922,ko:K00899;ko:K12339;ko:K00549;ko:K00789;ko:K00832;ko:K09880;ko:K00640;ko:K00133;ko:K01920;ko:K00872;ko:K01739;ko:K08968;ko:K00826;ko:K01752;ko:K01919;ko:K00058;ko:K01738;ko:K00651;ko:K08967;ko:K07173;ko:K01761;ko:K00548;ko:K01611,down,ko00270,Cysteine and methionine metabolism,21_vs_0,Rahnella
207,gs_ind_0,ko00550,15/23,0.0010654043163439153,0.014287619193216578,3.9145394006659266,26.792677044393304,ko:K07258;ko:K01921;ko:K01000;ko:K02563;ko:K01925;ko:K01928;ko:K00806;ko:K03587;ko:K05515;ko:K05366;ko:K01929;ko:K03588;ko:K01924;ko:K05365;ko:K00790,down,ko00550,Peptidoglycan biosynthesis,21_vs_0,Rahnella
261,gs_ind_0,ko01210,20/30,9.67921702079819e-05,0.002150937115732931,4.212025777855539,38.93152030031013,ko:K01649;ko:K00627;ko:K01704;ko:K01647;ko:K00163;ko:K14260;ko:K01652;ko:K01682;ko:K00133;ko:K05825;ko:K00836;ko:K00052;ko:K11258;ko:K00164;ko:K01703;ko:K00031;ko:K00826;ko:K00382;ko:K00053;ko:K00658,down,ko01210,2-Oxocarboxylic acid metabolism,21_vs_0,Rahnella
38,gs_ind_0,ko00500,14/25,0.0002713944178172266,0.021575856216469513,4.41799022023426,36.280259029053106,ko:K00847;ko:K00688;ko:K01087;ko:K02759;ko:K02761;ko:K00690;ko:K01176;ko:K01187;ko:K01222;ko:K06044;ko:K00703;ko:K00700;ko:K05349;ko:K00705,up,ko00500,Starch and sucrose metabolism,21_vs_0,Rahnella
190,gs_ind_0,ko00400,11/16,0.0027832203710224076,0.029297056537077974,4.474368151533506,26.32783821253919,ko:K01735;ko:K14170;ko:K01696;ko:K00891;ko:K13498;ko:K01626;ko:K00014;ko:K00817;ko:K00800;ko:K03786;ko:K00832,down,ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",21_vs_0,Rahnella
264,gs_ind_0,ko01230,62/91,7.472576498044665e-13,7.472576498044665e-11,4.766607215152477,133.09495293913363,ko:K01696;ko:K00850;ko:K01649;ko:K01704;ko:K13498;ko:K01647;ko:K01626;ko:K12339;ko:K00215;ko:K00549;ko:K00789;ko:K01714;ko:K00832;ko:K00765;ko:K02501;ko:K00134;ko:K00640;ko:K01754;ko:K00615;ko:K14260;ko:K01953;ko:K01652;ko:K00133;ko:K01682;ko:K00013;ko:K00836;ko:K01915;ko:K00052;ko:K00948;ko:K01689;ko:K00927;ko:K00800;ko:K01803;ko:K11755;ko:K01703;ko:K01624;ko:K11258;ko:K01834;ko:K01735;ko:K14170;ko:K00872;ko:K00674;ko:K01739;ko:K00031;ko:K00826;ko:K00817;ko:K01778;ko:K00873;ko:K01752;ko:K00600;ko:K00265;ko:K01738;ko:K00058;ko:K00651;ko:K00616;ko:K03786;ko:K00891;ko:K07173;ko:K00014;ko:K00053;ko:K00548;ko:K01940,down,ko01230,Biosynthesis of amino acids,21_vs_0,Rahnella
3,gs_ind_0,ko00040,15/25,5.472696461969102e-05,0.008701587374530872,5.184071532543149,50.87209237539817,ko:K01815;ko:K08323;ko:K01812;ko:K00040;ko:K00065;ko:K01629;ko:K01805;ko:K01804;ko:K01730;ko:K00848;ko:K01686;ko:K03077;ko:K01685;ko:K00854;ko:K01731,up,ko00040,Pentose and glucuronate interconversions,21_vs_0,Rahnella
286,gs_ind_0,ko03030,11/15,0.0012217122328684275,0.014373085092569734,5.471767952082913,36.701894124363676,ko:K02314;ko:K02338;ko:K02335;ko:K02345;ko:K03111;ko:K01972;ko:K02340;ko:K02337;ko:K02343;ko:K02316;ko:K02339,down,ko03030,DNA replication,21_vs_0,Rahnella
180,gs_ind_0,ko00290,10/13,0.0011430095354573262,0.014287619193216578,6.419237749546279,43.48449778845807,ko:K01649;ko:K01704;ko:K01754;ko:K14260;ko:K01652;ko:K00053;ko:K00826;ko:K00052;ko:K11258;ko:K01703,down,ko00290,"Valine, leucine and isoleucine biosynthesis",21_vs_0,Rahnella
166,gs_ind_0,ko00061,10/13,0.0011430095354573262,0.014287619193216578,6.419237749546279,43.48449778845807,ko:K01962;ko:K01963;ko:K01961;ko:K02372;ko:K00648;ko:K00647;ko:K09458;ko:K00059;ko:K00645;ko:K00209,down,ko00061,Fatty acid biosynthesis,21_vs_0,Rahnella
287,gs_ind_0,ko03060,15/18,1.0163013035705694e-05,0.00025407532589264234,9.533692722371967,109.60653520553768,ko:K03075;ko:K03074;ko:K03425;ko:K03110;ko:K03217;ko:K03106;ko:K03101;ko:K03070;ko:K03076;ko:K03117;ko:K03073;ko:K03210;ko:K03100;ko:K03072;ko:K03071,down,ko03060,Protein export,21_vs_0,Rahnella
248,gs_ind_0,ko00970,21/24,2.470044955495099e-08,1.2350224777475495e-06,13.321450468599457,233.34444636563177,ko:K01885;ko:K01869;ko:K01872;ko:K01876;ko:K01890;ko:K01875;ko:K01879;ko:K01887;ko:K01889;ko:K01873;ko:K01878;ko:K01883;ko:K01870;ko:K04567;ko:K01866;ko:K01881;ko:K01893;ko:K01868;ko:K01886;ko:K01892;ko:K01874,down,ko00970,Aminoacyl-tRNA biosynthesis,21_vs_0,Rahnella
28,gs_ind_0,ko00362,6/7,0.0007230150208141596,0.03831979610315046,15.049297793063916,108.83773401605671,ko:K01782;ko:K10218;ko:K16515;ko:K16514;ko:K00632;ko:K01607,up,ko00362,Benzoate degradation,21_vs_0,Rahnella
283,gs_ind_0,ko03010,48/53,3.635970502705051e-19,7.271941005410103e-17,19.755634980111836,838.7895052295911,ko:K02931;ko:K02902;ko:K02946;ko:K02926;ko:K02990;ko:K02992;ko:K02888;ko:K02867;ko:K02968;ko:K02876;ko:K02939;ko:K02886;ko:K02916;ko:K02982;ko:K02881;ko:K02890;ko:K02913;ko:K02933;ko:K02899;ko:K02961;ko:K02967;ko:K02988;ko:K02863;ko:K02879;ko:K02884;ko:K02907;ko:K02871;ko:K02954;ko:K02892;ko:K02864;ko:K02914;ko:K02895;ko:K02970;ko:K02994;ko:K02906;ko:K02950;ko:K02935;ko:K02963;ko:K02952;ko:K02904;ko:K02887;ko:K02986;ko:K02959;ko:K02965;ko:K02897;ko:K02878;ko:K02874;ko:K02945,down,ko03010,Ribosome,21_vs_0,Rahnella
284,gs_ind_0,ko03018,15/16,4.0248166321201773e-07,1.609926652848071e-05,22.270440251572328,327.94595794026793,ko:K04077;ko:K00850;ko:K00962;ko:K03666;ko:K08300;ko:K04043;ko:K08311;ko:K03628;ko:K03732;ko:K12573;ko:K01689;ko:K00970;ko:K11927;ko:K05592;ko:K00937,down,ko03018,RNA degradation,21_vs_0,Rahnella
268,gs_ind_0,ko01320,7/7,0.0003427837967477396,0.0052735968730421474,32.034358047016276,255.58326307896078,ko:K00860;ko:K01738;ko:K00381;ko:K00380;ko:K00957;ko:K00390;ko:K00956,down,ko01320,Sulfur cycle,21_vs_0,Rahnella
171,gs_ind_0,ko00195,8/8,0.0001092952951937985,0.00218590590387597,36.349426674713335,331.5597399703854,ko:K02112;ko:K02109;ko:K02115;ko:K02108;ko:K02114;ko:K02113;ko:K02111;ko:K02110,down,ko00195,Photosynthesis,21_vs_0,Rahnella
299,gs_ind_0,ko04112,11/11,3.525331691665232e-06,0.00010072376261900662,49.357359176256814,619.7081014436859,ko:K11749;ko:K02314;ko:K03590;ko:K03531;ko:K02313;ko:K03589;ko:K02563;ko:K01358;ko:K03544;ko:K03588;ko:K01338,down,ko04112,Cell cycle - Caulobacter,21_vs_0,Rahnella
